"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Rafaela, Ceddanne","678882","2024","3","63.9","1.4","2.2","-1.1","2.5","36.9","36","23"
"Raley, Luke","670042","2024","-5","42.9","-2.1","-0.8","0.2","-2.8","30.4","28","12"
"Ramos, Heliot","671218","2024","-2","43.2","-0.5","0","-0.4","-0.9","33.1","44","19"
"Refsnyder, Rob","608701","2024","-2","42.3","-0.1","1.8","-0.8","0.8","34.6","26","11"
"Renfroe, Hunter","592669","2024","-6","31.9","-0.8","0.6","-0.1","-0.4","33.3","47","15"
"Reynolds, Bryan","668804","2024","-7","31.1","-0.6","-1.3","0.6","-1.4","32.7","45","14"
"Robert Jr., Luis","673357","2024","1","48.6","-0.5","-0.1","0.2","-0.4","34","35","17"
"Rodríguez, Julio","677594","2024","4","56.9","1.9","-0.3","0.4","2","36.5","51","29"
"Rojas, Johan","679032","2024","6","67.6","1.8","1.1","-0.2","2.8","37.3","37","25"
"Rosario, Eddie","592696","2024","-5","40","-0.1","0.5","-0.1","0.3","33.8","35","14"
"Santander, Anthony","623993","2024","-2","57.8","-0.9","-0.9","0.7","-1.1","32.4","45","26"
"Schneider, Davis","676914","2024","-1","50","-0.1","0.4","0.2","0.4","33.6","32","16"
"Siani, Michael","672279","2024","12","83","2","1.7","-0.6","3.1","37.4","47","39"
"Siri, Jose","642350","2024","9","72.7","2.2","1.3","-0.3","3.2","38.2","55","40"
"Soto, Juan","665742","2024","-2","46.2","0.2","1.4","-0.5","1.1","34.2","52","24"
"Springer, George","543807","2024","-1","50","-0.8","0.1","0","-0.7","32.9","44","22"
"Steer, Spencer","668715","2024","-1","52.2","-1.5","-0.1","0.1","-1.4","32.5","23","12"
"Suwinski, Jack","669261","2024","-7","34.7","-0.5","-0.8","-0.2","-1.5","32.3","49","17"
"Suzuki, Seiya","673548","2024","-2","48.4","1.2","1","-0.5","1.7","35.6","31","15"
"Sánchez, Jesús","660821","2024","2","62.9","0.7","1.7","0","2.4","35.9","35","22"
"Tatis Jr., Fernando","665487","2024","-3","40","1.2","0.1","-0.1","1.2","34.9","35","14"
"Taveras, Leody","665750","2024","5","60","1.3","1.5","-1","1.8","36.6","60","36"
"Taylor, Michael A.","572191","2024","6","78.4","1.5","0.1","0.3","1.9","36.5","37","29"
"Taylor, Tyrone","621438","2024","4","65.6","1.9","0.4","0.2","2.5","37","32","21"
"Thomas, Lane","657041","2024","-6","29.2","-1.1","-0.1","-0.3","-1.5","32.2","48","14"
"Tucker, Kyle","663656","2024","-1","53.6","-1.8","0","-0.1","-1.9","31.6","28","15"
"Varsho, Daulton","662139","2024","10","67.2","2.1","1.6","0.1","3.8","37.8","67","45"
"Verdugo, Alex","657077","2024","2","52.6","0.3","0.9","-0.5","0.6","33.7","57","30"
"Ward, Taylor","621493","2024","-1","46.5","0.7","0.9","0.2","1.7","35.7","43","20"
"Winker, Jesse","608385","2024","-6","38.7","-2.3","-1.5","0.1","-3.7","30","31","12"
"Yastrzemski, Mike","573262","2024","1","52.4","0.9","-0.5","0.5","0.8","34.4","42","22"
"Yelich, Christian","592885","2024","-3","45.5","-2.2","-0.4","0.1","-2.5","30.8","22","10"
"Young, Jacob","696285","2024","14","76.2","1.7","4.5","-2.8","3.4","38.2","63","48"
